house,total_area,built_area,bedrooms,bathrooms,zone_east,zone_north,zone_northeast,zone_rural east,zone_rural west,zone_south,zone_southeast,zone_west
1,5034.0,312.0,6,5,0,0,0,0,1,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
1,190.0,100.0,4,2,0,0,0,0,0,1,0,0
0,57.0,57.0,3,1,0,0,0,0,0,0,0,1
1,185.0,213.0,4,3,0,0,1,0,0,0,0,0
0,41.0,41.0,1,1,1,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
0,121.0,121.0,4,2,1,0,0,0,0,0,0,0
0,68.0,68.0,2,2,1,0,0,0,0,0,0,0
0,54.0,54.0,2,2,0,0,0,0,0,0,0,1
0,64.0,64.0,3,3,0,0,0,1,0,0,0,0
0,57.0,57.0,2,2,0,0,0,0,0,0,0,0
1,420.0,156.0,4,3,0,0,0,0,0,1,0,0
1,148.0,436.0,4,3,0,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,39.0,39.0,2,1,0,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
1,1000.0,197.0,4,3,0,0,0,1,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
0,177.0,177.0,3,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
0,165.0,165.0,3,2,0,0,1,0,0,0,0,0
1,60.0,50.0,2,1,0,0,0,0,0,1,0,0
0,89.44,89.44,3,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
1,5800.0,248.0,6,4,0,0,0,0,1,0,0,0
0,60.0,60.0,2,1,0,0,1,0,0,0,0,0
1,212.0,140.0,3,2,0,0,1,0,0,0,0,0
0,66.0,66.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
0,28.0,28.0,1,1,0,0,0,0,0,0,0,0
0,58.0,58.0,2,2,0,0,0,0,0,0,0,0
0,64.0,64.0,2,1,1,0,0,0,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,0,0
1,105.0,76.0,3,1,0,0,0,0,0,0,1,0
0,187.0,187.0,3,2,0,0,0,1,0,0,0,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
1,804.0,420.0,6,5,0,0,1,0,0,0,0,0
0,150.0,150.0,4,3,0,0,1,0,0,0,0,0
0,163.0,163.0,4,4,0,0,1,0,0,0,0,0
1,174.0,125.0,5,2,0,0,0,0,0,0,0,0
0,69.29,69.29,2,2,1,0,0,0,0,0,0,0
1,1720.0,170.0,4,3,0,0,0,1,0,0,0,0
1,88.0,66.0,1,2,0,0,0,1,0,0,0,0
1,5700.0,220.0,4,3,0,0,0,1,0,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,0,0,0
1,860.0,420.0,6,4,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,1,0
0,64.0,64.0,1,1,0,0,0,0,0,0,1,0
1,120.0,72.0,3,2,0,0,0,0,0,0,1,0
0,37.0,37.0,1,1,0,0,0,0,0,0,0,0
1,5000.0,190.0,5,3,0,0,0,0,1,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
0,70.0,70.0,3,1,0,0,0,0,0,1,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,60.0,60.0,2,2,1,0,0,0,0,0,0,0
0,44.0,44.0,2,1,0,0,0,0,0,1,0,0
0,64.0,64.0,3,4,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
0,73.0,73.0,2,1,0,0,0,0,0,0,0,1
1,131.0,110.0,3,2,1,0,0,0,0,0,0,0
0,201.0,201.0,4,4,0,0,1,0,0,0,0,0
0,47.0,47.0,2,1,0,0,0,0,0,0,0,0
0,44.0,44.0,2,1,0,0,0,0,0,0,0,1
0,64.0,64.0,1,1,0,0,0,0,0,0,0,0
0,95.0,95.0,2,2,0,0,1,0,0,0,0,0
1,167.0,90.0,3,1,0,0,0,0,0,0,0,1
0,64.0,64.0,3,2,0,0,0,0,0,0,0,0
1,336.0,324.0,10,1,0,1,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,5000.0,213.0,4,4,0,0,0,0,1,0,0,0
0,67.8,67.8,2,1,0,0,0,1,0,0,0,0
1,99.0,61.0,3,2,0,0,0,0,0,0,1,0
1,150.0,80.0,3,1,0,0,0,0,0,0,1,0
1,650.0,255.0,6,3,0,0,0,1,0,0,0,0
1,155.0,100.0,3,2,0,0,0,0,0,0,0,1
1,365.0,140.0,4,1,0,0,0,0,0,1,0,0
0,85.0,85.0,3,2,0,0,0,0,0,1,0,0
1,8600.0,500.0,3,4,0,0,0,1,0,0,0,0
1,512.0,160.0,4,4,0,0,0,1,0,0,0,0
0,67.8,67.8,2,1,0,0,0,1,0,0,0,0
0,78.0,78.0,3,1,0,0,0,0,1,0,0,0
1,5252.0,276.0,3,2,0,0,0,0,1,0,0,0
1,49000.0,60.0,1,1,0,0,0,0,1,0,0,0
0,51.0,51.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,149.0,149.0,4,3,0,1,0,0,0,0,0,0
1,5000.0,320.0,4,4,0,0,0,1,0,0,0,0
1,670.0,333.0,6,3,0,0,1,0,0,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
0,42.0,42.0,2,1,0,0,0,0,0,0,0,0
0,64.0,64.0,5,4,0,0,1,0,0,0,0,0
1,150.0,90.0,3,1,0,0,0,0,0,1,0,0
1,528.0,278.0,4,3,0,0,0,0,0,0,0,0
1,120.0,90.0,3,2,0,1,0,0,0,0,0,0
0,102.0,102.0,2,2,0,0,1,0,0,0,0,0
1,492.0,259.0,4,3,0,0,1,0,0,0,0,0
0,108.82,108.82,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
1,800.0,412.0,6,4,1,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
1,145.0,67.0,3,1,0,0,0,0,0,0,0,1
0,45.0,45.0,3,1,0,0,0,0,0,0,0,1
0,150.0,150.0,3,3,0,0,1,0,0,0,0,0
1,90.0,90.0,4,1,0,0,0,0,0,0,1,0
0,64.0,64.0,1,1,0,0,0,0,0,1,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,0,0
0,84.0,84.0,3,2,1,0,0,0,0,0,0,0
1,1252.0,383.0,4,3,0,0,0,1,0,0,0,0
0,64.0,64.0,2,1,0,1,0,0,0,0,0,0
0,58.29,58.29,3,1,0,0,0,0,0,1,0,0
0,63.0,63.0,2,2,1,0,0,0,0,0,0,0
0,84.0,84.0,3,2,0,0,1,0,0,0,0,0
0,70.0,70.0,3,2,0,0,0,0,0,0,0,0
0,268.68,268.68,3,4,0,0,1,0,0,0,0,0
0,162.0,162.0,4,5,0,0,1,0,0,0,0,0
1,303.0,143.0,4,3,0,0,0,0,0,0,0,1
1,180.0,80.0,3,2,0,0,0,0,0,0,1,0
0,72.0,72.0,1,1,0,0,0,0,0,0,0,0
1,145.0,125.0,3,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,0,0
1,5300.0,309.0,4,4,0,0,0,0,1,0,0,0
0,64.0,64.0,5,5,0,0,0,1,0,0,0,0
0,56.0,56.0,3,1,0,0,0,0,0,1,0,0
1,817.0,225.0,6,3,1,0,0,0,0,0,0,0
0,52.0,52.0,2,2,0,0,0,0,0,0,0,0
1,185.0,66.0,3,1,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
1,600.0,200.0,4,4,0,0,1,0,0,0,0,0
1,191.0,142.0,3,3,0,0,0,0,0,0,1,0
0,62.35,62.35,2,2,0,0,0,0,0,0,0,0
1,110.0,60.0,3,1,0,0,0,0,0,0,1,0
0,71.38,71.38,2,2,1,0,0,0,0,0,0,0
1,750.0,360.0,6,5,0,0,1,0,0,0,0,0
1,212.0,140.0,4,3,1,0,0,0,0,0,0,0
0,67.0,67.0,3,2,0,0,0,0,0,0,0,0
1,126.0,75.15,3,2,0,0,0,0,1,0,0,0
1,167.0,70.0,2,1,0,1,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,47.0,47.0,2,1,0,1,0,0,0,0,0,0
1,206.0,57.0,5,2,0,0,0,0,0,1,0,0
1,723.0,344.0,6,5,0,0,0,1,0,0,0,0
0,55.0,55.0,3,1,0,1,0,0,0,0,0,0
1,125.0,124.0,4,3,0,0,0,0,0,0,0,1
0,67.0,67.0,2,2,0,0,0,0,0,0,1,0
0,92.0,92.0,3,2,1,0,0,0,0,0,0,0
0,64.0,64.0,4,3,0,0,0,1,0,0,0,0
1,455.0,389.0,3,2,0,0,0,0,0,0,0,1
1,400.0,220.0,5,3,0,0,1,0,0,0,0,0
1,194.0,198.0,3,3,0,0,0,0,1,0,0,0
0,117.1,117.1,4,3,0,0,0,1,0,0,0,0
0,95.41,95.41,2,2,0,0,1,0,0,0,0,0
0,60.0,60.0,3,2,0,0,0,0,0,0,0,1
0,108.0,108.0,3,2,0,0,0,0,0,0,0,0
1,120.0,88.0,3,3,0,1,0,0,0,0,0,0
1,15500.0,415.0,5,4,0,0,0,0,1,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
1,5000.0,175.0,4,2,0,0,0,0,1,0,0,0
0,64.0,64.0,1,1,1,0,0,0,0,0,0,0
1,5300.0,170.0,4,2,0,0,0,0,1,0,0,0
0,66.0,66.0,3,2,0,0,0,0,0,0,0,1
0,45.0,45.0,2,1,0,0,0,0,0,0,0,1
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,64.0,64.0,1,1,0,1,0,0,0,0,0,0
1,142.0,133.34,4,2,1,0,0,0,0,0,0,0
0,44.0,44.0,2,1,0,0,0,0,0,0,0,0
0,37.0,37.0,2,1,0,0,0,0,0,0,0,1
0,150.0,150.0,3,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
1,90.0,60.0,3,1,0,0,0,0,0,0,1,0
0,102.0,102.0,2,2,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
1,125.0,73.0,3,2,0,1,0,0,0,0,0,0
1,121.0,67.0,3,1,0,0,0,0,0,0,1,0
0,31.0,31.0,1,1,0,0,0,0,0,0,0,1
0,78.0,78.0,3,2,0,0,0,0,0,0,0,0
0,112.0,112.0,3,3,0,0,1,0,0,0,0,0
0,223.08,223.08,3,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
1,144.0,100.0,3,1,0,0,0,0,0,0,0,1
1,890.0,390.0,5,4,0,0,0,1,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
1,115.0,60.0,3,1,0,1,0,0,0,0,0,0
0,40.0,40.0,2,2,0,0,0,0,0,0,0,0
0,50.0,50.0,2,1,1,0,0,0,0,0,0,0
0,64.0,64.0,2,3,0,0,1,0,0,0,0,0
0,64.0,64.0,4,4,0,0,1,0,0,0,0,0
1,111.0,54.0,3,1,0,0,0,0,0,0,1,0
0,46.13,46.13,2,1,0,1,0,0,0,0,0,0
1,450.0,136.0,6,3,1,0,0,0,0,0,0,0
1,110.0,70.0,5,2,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,55.0,55.0,2,1,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,1,0,0
1,5500.0,240.0,4,4,0,0,0,0,1,0,0,0
1,1602.0,500.0,6,5,0,0,1,0,0,0,0,0
0,56.0,56.0,2,1,0,0,1,0,0,0,0,0
1,310.0,104.0,3,3,0,0,0,0,1,0,0,0
0,80.0,80.0,2,2,1,0,0,0,0,0,0,0
1,1280.0,304.0,4,4,0,0,1,0,0,0,0,0
0,30.0,30.0,2,2,0,0,1,0,0,0,0,0
0,85.0,85.0,3,2,0,0,0,0,0,0,1,0
0,130.0,130.0,3,3,0,0,1,0,0,0,0,0
0,46.0,46.0,3,1,0,0,0,0,0,0,0,1
1,541.0,248.0,5,4,0,0,1,0,0,0,0,0
1,320.0,132.0,4,3,0,0,0,0,0,0,0,1
0,68.0,68.0,2,2,1,0,0,0,0,0,0,0
1,69.0,59.0,2,1,0,0,0,0,0,0,0,1
1,5025.0,100.0,3,2,0,0,0,0,1,0,0,0
0,66.0,66.0,3,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,1000.0,220.0,4,4,0,0,0,1,0,0,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
1,150.0,79.0,3,3,0,0,0,0,0,1,0,0
0,64.0,64.0,2,1,1,0,0,0,0,0,0,0
0,64.0,64.0,4,3,0,0,1,0,0,0,0,0
0,60.0,60.0,3,1,0,0,0,0,0,0,1,0
0,62.0,62.0,2,2,0,0,0,0,0,0,0,0
1,3812.0,274.0,4,3,0,0,0,1,0,0,0,0
0,92.0,92.0,3,2,0,0,1,0,0,0,0,0
1,620.0,220.0,4,4,0,0,0,1,0,0,0,0
0,261.0,261.0,4,5,0,0,1,0,0,0,0,0
1,170.0,102.0,3,3,0,0,0,0,0,0,1,0
1,1000.0,370.0,5,5,0,0,1,0,0,0,0,0
0,234.0,234.0,3,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,386.0,177.0,5,4,0,0,0,0,0,0,1,0
0,40.0,40.0,1,1,1,0,0,0,0,0,0,0
0,64.0,64.0,3,1,0,0,0,0,0,0,0,0
0,64.0,64.0,1,1,1,0,0,0,0,0,0,0
0,96.0,96.0,3,2,0,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
0,50.0,50.0,2,2,0,0,0,0,0,0,0,0
1,11800.0,56.0,3,1,0,0,0,0,1,0,0,0
1,308.0,111.0,4,3,0,0,0,0,1,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
0,64.0,64.0,1,1,0,0,0,0,0,0,0,0
1,203.0,158.0,5,2,0,1,0,0,0,0,0,0
1,116.0,115.0,5,2,0,0,0,0,0,0,1,0
0,64.0,64.0,3,2,0,0,1,0,0,0,0,0
1,151.0,85.0,3,3,0,0,0,0,0,1,0,0
1,300.0,135.0,4,4,0,0,1,0,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,1,0
0,70.0,70.0,2,2,0,0,1,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,1,0,0
0,88.0,88.0,3,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,0,0
0,36.0,36.0,1,1,0,0,0,0,0,0,0,0
0,44.0,44.0,1,1,0,0,0,0,0,0,0,0
0,100.0,100.0,3,2,0,0,0,0,0,0,0,0
1,5000.0,290.0,4,3,0,0,0,1,0,0,0,0
1,229.0,111.0,3,2,0,0,0,0,0,1,0,0
1,73.0,71.0,3,1,0,0,0,0,1,0,0,0
1,132.0,52.0,2,1,0,0,0,0,0,0,1,0
1,63.0,78.0,3,2,0,1,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,155.0,143.0,7,3,0,0,0,0,0,1,0,0
1,348.0,177.0,4,3,0,0,0,0,0,1,0,0
1,82.0,65.0,2,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,0,0
0,66.0,66.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,46.0,46.0,2,2,0,0,0,0,0,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
1,104.0,95.0,4,2,0,0,0,0,0,0,1,0
0,64.0,64.0,1,1,0,0,0,0,0,1,0,0
1,5014.0,305.0,5,3,0,0,0,0,1,0,0,0
0,48.0,48.0,2,2,0,0,0,0,0,0,0,0
0,65.0,65.0,2,2,1,0,0,0,0,0,0,0
1,5000.0,200.0,4,2,0,0,0,0,1,0,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,70.0,55.0,2,2,0,0,0,0,0,1,0,0
0,90.0,90.0,2,2,0,0,1,0,0,0,0,0
0,61.0,61.0,2,2,0,0,0,0,0,0,0,0
0,83.5,83.5,2,2,0,0,1,0,0,0,0,0
0,110.0,110.0,2,2,0,0,1,0,0,0,0,0
0,137.0,137.0,4,3,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
1,380.0,114.0,3,3,0,0,0,1,0,0,0,0
0,70.0,70.0,2,2,0,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
1,100.0,83.0,5,2,0,1,0,0,0,0,0,0
1,120.0,90.0,3,3,0,0,0,0,0,0,1,0
1,100.0,80.0,3,2,0,0,0,0,0,0,1,0
1,452.0,230.0,4,1,0,0,0,0,0,1,0,0
0,64.0,64.0,2,1,0,0,0,0,0,0,0,0
0,84.0,84.0,2,2,1,0,0,0,0,0,0,0
